,phrase,label,sentiment,subjectivity,language,count
The Colorado Avalanche's,The Colorado Avalanche's,ORG,0.35714285714285715,0.0,en,1.0
thems,thems,ORG,-0.225,0.0,en,1.0
"Bennett, Coleman &amp;","Bennett, Coleman &amp;",ORG,0.12222222222222222,0.0,en,1.0
Nichushkin High-Stick,Nichushkin High-Stick,ORG,0.0,0.0,en,1.0
SEBI,SEBI,ORG,0.0,0.0,en,1.0
the Western Conference,the Western Conference,ORG,0.23500000000000001,0.0,en,1.0
the St. Louis Blues 3-1,the St. Louis Blues 3-1,ORG,0.09375,0.0,en,1.0
Hockey Ops,Hockey Ops,ORG,0.0,0.0,en,1.0
KTVD,KTVD,ORG,0.2,0.0,en,1.0
Colorad,Colorad,ORG,0.0,0.0,en,1.0
Bruins Sign Hagens,Bruins Sign Hagens,ORG,0.2833333333333333,0.0,en,1.0
the Masterton Trophy,the Masterton Trophy,ORG,0.0,0.0,en,1.0
"Aspen Times
","Aspen Times
",ORG,0.14285714285714285,0.0,en,1.0
River Stingray,River Stingray,ORG,0.14285714285714285,0.0,en,1.0
